,Name of book,Year of relase,Price,Category,Rating
121,JavaScript с нуля,2022,8 401,"Прогресс книга, Питер, Библиотека программиста",3.9
122,Python без проблем,2022,8 796,"Питер, Прогресс книга, Библиотека программиста",3.2
123,Выразительный JavaScript,2022,11 951,"Питер, Для профессионалов",3.0
124,Современные операционные системы,2015,15 815,"Питер, Классика Computer Science",4.7
125,Психбольница в руках пациентов,2021,8 310,"Прогресс, Питер, Библиотека программиста",3.8
126,Unity и C#. Геймдев от идеи до реализации,2021,17 544,"Питер, Для профессионалов",3.3
127,Head First. Kotlin,2023,16 972,"Питер, Прогресс книга, Head First O'Reilly",4.4
128,Последнее изобретение человечества,2022,2 276,"Альпина нон-фикшн, Alpina Popular Science",4.6
129,Homo Roboticus?,2020,2 276,"Альпина нон-фикшн, Alpina Popular Science",3.1
130,Homo Roboticus?,2017,4 793,"Альпина Паблишер, Искусственный интеллект",4.0
131,Максимальный репост,2019,3 981,Альпина Паблишер,3.0
132,Ничего личного,2020,5 309,Альпина Паблишер,4.5
133,Мастера геймдизайна,2020,4 793,Альпина Паблишер,4.8
134,Хард & софт,2022,4 387,Альпина Паблишер,4.4
135,В шаге от вечности. Как я стал киборгом,2023,5 199,Альпина Паблишер,3.7
136,Программирование для детей. Мои первые программы на Scratch,2018,3 010,"Питер, Вы и ваш ребенок",4.1
137,Однострочники Python,2022,9 181,"Прогресс книга, Питер, Библиотека программиста",3.2
138,Объектно-ориентированное программирование,2022,13 810,"Питер, Классика Computer Science",3.6
139,Как вытащить из данных максимум. Навыки аналитики для неспециалистов,2022,5 605,Альпина Паблишер,3.5
140,Git для профессионального программиста,2022,8 471,"Питер, Библиотека программиста",3.5
141,CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#,2021,14 343,"Питер, Мастер-класс",3.2
142,Прагматичный ИИ. Машинное обучение и облачные технологии,2019,9 274,"Питер, Для профессионалов",3.9
143,Высокопроизводительный код на платформе .NET,2019,11 734,"Питер, Для профессионалов",3.6
144,Командная строка Linux. Полное руководство,2019,11 674,"Прогресс книга, Для профессионалов",4.8
145,"Стильный Java. Код, который работает всегда",2021,13 216,"Прогресс книга, Питер, Библиотека программиста",3.9
146,"Roblox. Играй, программируй и создавай свои миры",2022,9 868,"Прогресс книга, Питер, Программирование для детей",3.2
147,Обработка естественного языка. Python,2021,8 449,"Прогресс книга, Питер, Библиотека программиста",4.5
